#peak_num	name	confidence	molecular ion
331	2(3H)-Furanone, 5-methyl-	2	98
779	1,2-Dimethyl cyclopropene	0	68
886	Benzoic acid	2	122
1197	2-Butanone, 3-chloro-	0	106
223	Crotonic acid	0	86
257	Dichloroacetic acid, 2-tetrahydrofurylmethyl ester	0	212
309	Maleic anhydride	2	98
315	2,3-Dihydrooxazole, 2-t-butyl-4-(1-hydroxy-1-methylethyl)-3-methoxycarbonyl-5-methyl-	2	98
425	Propanedioic acid, dimethyl ester	2	132
458	Trifluoroamine oxide	0	87
468	3(2H)-Furanone, 2-(1-hydroxy-1-methyl-2-oxopropyl)-2,5-dimethyl-	0	198
512	7-Oxabicyclo[2.2.1]hept-5-en-2-one	0	110
520	3-Octanone	2	128
530	3-Methyl-3-cyclohexen-1-one	2	110
547	2H-Pyran-2,3-diol, tetrahydro-, diacetate, trans-	0	202
553	2-Hepten-4-one, 2-methyl-	2	126
586	Cyclohexene, 1-methyl-4-(1-methylethylidene)-	2	136
602	4(1H)-Pyrimidinone, 5-hydroxy-2-methyl-	0	126
622	2(3H)-Furanone, dihydro-4,4,5,5-tetramethyl-	0	142
640	Ethanone, 1-(2-methyl-1-cyclopenten-1-yl)-	0	124
647	2-Cyclopenten-1-one, 2,3-dimethyl-	2	110
649	2,5-Furandione, 3,4-dimethyl-	2	126
653	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	0	144
654	2,4,6-Cycloheptatrien-1-one, 4-methyl-	2	120
659	4-Methyl-5H-furan-2-one	2	98
663	2-Heptanone, 6-methyl-	0	128
669	4-Propionyloxytridecane	0	256
677	4-Carene, (1S,3R,6R)-(-)-	0	136
678	2-Cyclohexen-1-one, 3-methyl-	2	110
680	2,5-Dimethyl-4-hydroxy-3(2H)-furanone	2	128
682	1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-	2	138
706	3,7-Dimethyloctyl ethylphosphonofluoridoate	0	252
709	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	0	170
711	Pentanoic acid, 2-methyl-, anhydride	0	214
728	1,2,4-Triazin-3-amine, 5,6-dimethyl-	2	124
741	Bicyclo[2.2.1]heptan-2-one, 1,3,3-trimethyl-	2	152
753	Cyclopropanemethanol, à-butyl-	0	128
776	2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-	0	168
778	3,3,7-Trimethyl-4-oxa-7-octen-1-ol	0	172
783	Cyclohexanol, 2,6-dimethyl-	2	128
827	Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-	0	138
838	2,6,6-Trimethyl-2-cyclohexene-1,4-dione	2	152
852	2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-	0	154
854	Pyrollidine, 2,5-bis(imino)-	0	97
879	2-Furanethanol, à-methyl-, acetate	0	168
888	3-Undecene, (E)-	0	154
900	Bicyclo[3.1.0]hex-3-en-2-one, 4-methyl-1-(1-methylethyl)-	0	150
912	Benzylidenemalonaldehyde	0	160
931	Bicyclo[2.2.2]oct-5-en-2-one, 7-syn-hydroxy-	0	138
969	Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-	0	150
995	[1,1'-Bicyclopentyl]-2-one	0	152
996	Benzeneacetaldehyde, à-ethyl-	2	148
998	1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-	2	139
1039	1H-Pyrrole-2,5-dione, 3-ethenyl-4-methyl-	2	137
1056	D-Tyrosine, 3-hydroxy-	0	197
1095	Indole	2	117
1100	Phenol, m-tert-butyl-	0	150
1158	(+-)-3-hydroxybutyric acid, acetate	0	146
1168	Ethanone, 1-(3,4-dimethylphenyl)-	2	148
1201	n-Decanoic acid	0	172
1203	1(3H)-Isobenzofuranone, 3,3-dimethyl-	0	162
1216	Cyclohexanemethanol, à,à,4-trimethyl-, trans-	0	156
1245	Cyclohexane, 1,1,3,5-tetramethyl-, cis-	0	140
1260	Vanillin	2	152
1263	trans-1,10-Dimethyl-trans-9-decalol	2	182
1269	Propanoic acid, 2-methyl-, 3-hydroxy-2,4,4-trimethylpentyl ester	0	216
1288	Ethanone, 1,1'-(1,3-phenylene)bis-	2	162
1371	1,7-Dioxaspiro[5.5]undec-2-ene	0	154
1374	2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-	2	180
1398	Furan, 4-methyl-2-propyl-	0	124
1417	Fumaric acid, ethyl 3,4,5-trichlorophenyl ester	0	322
1432	2-Methoxyformanilide	0	151
1439	1,3-Benzenediol, 4-ethyl-	2	138
1440	Ethanone, 1-(1a,2,3,5,6a,6b-hexahydro-3,3,6a-trimethyloxireno[g]benzofuran-5-yl)-	2	222
1442	6-(3,3-Dimethyl-oxiran-2-ylidene)-5,5-dimethyl-hex-3-en-2-one	2	194
1447	10-Methyldodecan-5-olide	0	212
1452	Phosphoric acid, dipropyl nonyl ester	0	308
1464	Trifluoromethyldifluorophosphine	0	138
1485	Triethyl citrate	2	276
1598	n-Hexadecanoic acid	0	256
1603	2-Azafluorenone	0	181
1608	n-Decanoic acid	0	172
1644	Hexadecenoic acid, Z-11-	0	254
1871	4,8,12,16-Tetramethylheptadecan-4-olide	0	324
2400	BOSCALID	0	342
