#peak_num	name	molecular ion
159	1H-Tetrazole, 1-methyl-	84
293	Isocrotonic acid	86
316	Maleic anhydride	98
337	3-Hexanone, 2-methyl-	114
410	3-Pentenal, 4-methyl-	98
456	Ethanone, 1-(3-methylenecyclopentyl)-	124
462	4-Cyclopentene-1,3-dione	96
464	Methane, tribromo-	294
661	2,4-Dihydroxy-2,5-dimethyl-3(2H)-furan-3-one	144
665	2,5-Furandione, 3-methyl-	112
669	2-Hexanone, 6-bromo-	178
670	2(5H)-Furanone, 3-methyl-	98
673	3-Octanone	128
688	3-Methyl-3-cyclohexen-1-one	110
707	2-Hepten-4-one, 2-methyl-	126
738	4-Hexen-3-ol	100
760	2,6-Octadiene-4,5-diol, 4-methyl-	156
772	Trifluoroamine oxide	87
778	Benzoxazole	119
786	3-Acetylthymine	168
796	1,2-Cyclopentanedione, 3-methyl-	112
819	2-Acetyl-5-methylfuran	124
820	2H-Pyran-2-one, 5,6-dihydro-	98
821	(E)-4-Oxohex-2-enal	112
830	3-Cyclohexen-1-one, 3,5,5-trimethyl-	138
831	2-Cyclopenten-1-one, 2,3-dimethyl-	110
839	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	144
859	Valeric acid, 2-pentadecyl ester	312
872	Phenol, 3-methyl-	108
877	Metronidazole	82
894	(E)1-Allyl-2-methylcyclohexanol	154
910	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	170
927	Benzenepropanenitrile, á-hydroxy-	108
940	1,2,4-Triazin-3-amine, 5,6-dimethyl-	124
958	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	170
990	5H-Cyclopenta-1,4-dioxin, 4a,6,7,7a-tetrahydro-2-methyl-, trans-	140
1011	2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-	168
1012	Acetic acid, trifluoro-, ethyl ester	238
1013	1-Cyclopentene-1-carboxylic acid	68
1016	6,7-Dioxabicyclo[3.2.1]octane, 1-methyl-	128
1029	Cyclodecene	198
1076	Benzyl methyl ketone	134
1091	2-Pyrazoline, 3-ethyl-1-isopropyl-	140
1116	Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-	138
1136	Benzene, 1,2-dimethoxy-	138
1150	Thiophene, 3-methyl-	98
1154	Hexanoic acid, 2-ethylcyclohexyl ester	226
1182	Bicyclo[3.1.0]hexan-2-one, 5-(1-methylethyl)-	138
1184	5-Hepten-2-one, 5,6-dimethyl-	140
1197	Pinocarvone	150
1225	1,4-Cyclohexanedione, 2,2,6-trimethyl-	154
1280	2(3H)-Benzofuranone, hexahydro-3a,7a-dimethyl-, cis-	168
1288	6-Methyl-cyclohex-2-en-1-ol	112
1295	Benzenemethanol, à,à,4-trimethyl-	150
1307	cis-3-Hexenyl iso-butyrate	170
1343	1-Silacyclohexa-2,5-diene	96
1375	2-Oxabicyclo[2.2.2]octan-6-one, 1,3,3-trimethyl-	168
1391	2-Nonanone	142
1398	Phenol, 4-ethenyl-, acetate	162
1429	2-Cyclohexen-1-one, 4-hydroxy-3,5,5-trimethyl-4-(3-oxo-1-butenyl)-	124
1433	1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-	139
1486	Hexanoic acid, tridec-2-ynyl ester	294
1489	2,5-Pyrrolidinedione, 3-methyl-4-propyl-, cis-	155
1493	Nonadecanamide	297
1508	1H-Pyrrole-2,5-dione, 3-ethenyl-4-methyl-	137
1529	Bicyclo[2.2.1]heptane-2,5-dione, 1,7,7-trimethyl-	166
1542	Cyclopentaneacetaldehyde, 2-formyl-3-methyl-à-methylene-	166
1547	1,4-dihydroxy-p-menth-2-ene	170
1585	Cyclohexene, 3-acetoxy-4-(1-hydroxy-1-methylethyl)-1-methyl-	212
1596	Thymol	150
1607	5H-1-Pyrindine	117
1627	(+)-Borneol	154
1639	2(5H)-Furanone, 5-(2-hydroxyethylidene)-	126
1645	Bicyclo[3.1.1]heptan-3-one, 6,6-dimethyl-2-(2-methylpropyl)-	194
1659	1-Acetyl-2-(2'-oxo-propyl)-cyclopentane	168
1665	2-Methoxy-4-vinylphenol	150
1671	4-Undecene, 4-methyl-, (Z)-	168
1681	4-Heptanone, 3-ethyl-	128
1684	1,1-Di(prop-2-enyl)-1-silacyclobutane	152
1689	Cyclohexene, 2-butyl-1,3,3-trimethyl-	180
1694	2-Propanol, 1-[(1-ethynylcyclohexyl)oxy]-	182
1709	1,7-Octanediol, 3,7-dimethyl-	174
1715	Pyrrolidine, 1-(1-oxo-2,5-octadecadienyl)-	333
1733	2,5-Dimethylhex-5-en-3-yn-2-ol	124
1739	Phenol, 2,6-dimethoxy-	154
1757	1(3H)-Isobenzofuranone, 3,3-dimethyl-	162
1761	trans-2,7-Dimethyl-4,6-octadien-2-ol	154
1762	2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-	168
1766	Ethanone, 1-(2,5-dimethylphenyl)-	148
1770	4,5-Dimethyl-3-heptanol	144
1779	Benzaldehyde, 4-hydroxy-	122
1782	3-Decen-5-one	154
1784	trans-5-Isopropyl-6,7-epoxy-8-hydroxy-8-methylnonan-2-one	228
1797	2-Pentenoic acid, 4-methyl-	114
1818	Tricyclo[7.1.0.0(4.6)]decane-5-carboxamide, 10,10-dichloro-N-(2,4,6-trimethylphenyl)-	365
1822	Cyclohexane, 1,1,3,5-tetramethyl-, trans-	140
1837	Methyleugenol	178
1847	trans-1,10-Dimethyl-trans-9-decalol	182
1875	Cyclododecanol, 1-aminomethyl-	213
1883	8-Hydroxycarvotanacetone	168
1891	Cyclohexane, 1,3-dimethoxy-5-methyl-, (1à,3á,5à)-	158
1921	4,4'-Biscyclohexanone, 2,2',6,6'-tetramethyl-	250
1937	1-Cyclohexanol, 2-(3-methyl-1,3-butadienyl)-1,3,3-trimethyl-	208
1954	2-Butynoic acid, 4-[(tetrahydro-2H-pyran-2-yl)oxy]-, methyl ester	198
1970	4-Methoxy-7-methylindan-1-one	176
2005	3,4-Dihydroxy-5-aminopyridazine	127
2013	Apocynin	166
2020	Valeric acid, 3-fluorophenyl ester	196
