#peak_num	name	confidence	molecular ion
159	1H-Tetrazole, 1-methyl-	2	84
293	Isocrotonic acid	2	86
316	Maleic anhydride	2	98
337	3-Hexanone, 2-methyl-	2	114
410	3-Pentenal, 4-methyl-	2	98
456	Ethanone, 1-(3-methylenecyclopentyl)-	2	124
462	4-Cyclopentene-1,3-dione	2	96
464	Methane, tribromo-	2	294
661	2,4-Dihydroxy-2,5-dimethyl-3(2H)-furan-3-one	2	144
665	2,5-Furandione, 3-methyl-	0	112
669	2-Hexanone, 6-bromo-	0	178
670	2(5H)-Furanone, 3-methyl-	2	98
673	3-Octanone	2	128
688	3-Methyl-3-cyclohexen-1-one	0	110
707	2-Hepten-4-one, 2-methyl-	2	126
738	4-Hexen-3-ol	0	100
760	2,6-Octadiene-4,5-diol, 4-methyl-	0	156
772	Trifluoroamine oxide	0	87
778	Benzoxazole	2	119
786	3-Acetylthymine	0	168
796	1,2-Cyclopentanedione, 3-methyl-	2	112
819	2-Acetyl-5-methylfuran	0	124
820	2H-Pyran-2-one, 5,6-dihydro-	2	98
821	(E)-4-Oxohex-2-enal	2	112
830	3-Cyclohexen-1-one, 3,5,5-trimethyl-	2	138
831	2-Cyclopenten-1-one, 2,3-dimethyl-	2	110
839	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	0	144
859	Valeric acid, 2-pentadecyl ester	0	312
872	Phenol, 3-methyl-	0	108
877	Metronidazole	0	82
894	(E)1-Allyl-2-methylcyclohexanol	0	154
910	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	0	170
927	Benzenepropanenitrile, á-hydroxy-	0	108
940	1,2,4-Triazin-3-amine, 5,6-dimethyl-	0	124
958	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	0	170
990	5H-Cyclopenta-1,4-dioxin, 4a,6,7,7a-tetrahydro-2-methyl-, trans-	0	140
1011	2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-	0	168
1012	Acetic acid, trifluoro-, ethyl ester	0	238
1013	1-Cyclopentene-1-carboxylic acid	0	68
1016	6,7-Dioxabicyclo[3.2.1]octane, 1-methyl-	0	128
1029	Cyclodecene	2	198
1076	Benzyl methyl ketone	2	134
1091	2-Pyrazoline, 3-ethyl-1-isopropyl-	2	140
1116	Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-	2	138
1136	Benzene, 1,2-dimethoxy-	2	138
1150	Thiophene, 3-methyl-	0	98
1154	Hexanoic acid, 2-ethylcyclohexyl ester	0	226
1182	Bicyclo[3.1.0]hexan-2-one, 5-(1-methylethyl)-	2	138
1184	5-Hepten-2-one, 5,6-dimethyl-	0	140
1197	Pinocarvone	2	150
1225	1,4-Cyclohexanedione, 2,2,6-trimethyl-	2	154
1280	2(3H)-Benzofuranone, hexahydro-3a,7a-dimethyl-, cis-	0	168
1288	6-Methyl-cyclohex-2-en-1-ol	0	112
1295	Benzenemethanol, à,à,4-trimethyl-	2	150
1307	cis-3-Hexenyl iso-butyrate	0	170
1343	1-Silacyclohexa-2,5-diene	2	96
1375	2-Oxabicyclo[2.2.2]octan-6-one, 1,3,3-trimethyl-	2	168
1391	2-Nonanone	2	142
1398	Phenol, 4-ethenyl-, acetate	0	162
1429	2-Cyclohexen-1-one, 4-hydroxy-3,5,5-trimethyl-4-(3-oxo-1-butenyl)-	0	124
1433	1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-	2	139
1486	Hexanoic acid, tridec-2-ynyl ester	0	294
1489	2,5-Pyrrolidinedione, 3-methyl-4-propyl-, cis-	0	155
1493	Nonadecanamide	0	297
1508	1H-Pyrrole-2,5-dione, 3-ethenyl-4-methyl-	2	137
1529	Bicyclo[2.2.1]heptane-2,5-dione, 1,7,7-trimethyl-	2	166
1542	Cyclopentaneacetaldehyde, 2-formyl-3-methyl-à-methylene-	0	166
1547	1,4-dihydroxy-p-menth-2-ene	2	170
1585	Cyclohexene, 3-acetoxy-4-(1-hydroxy-1-methylethyl)-1-methyl-	0	212
1596	Thymol	2	150
1607	5H-1-Pyrindine	2	117
1627	(+)-Borneol	0	154
1639	2(5H)-Furanone, 5-(2-hydroxyethylidene)-	0	126
1645	Bicyclo[3.1.1]heptan-3-one, 6,6-dimethyl-2-(2-methylpropyl)-	0	194
1659	1-Acetyl-2-(2'-oxo-propyl)-cyclopentane	0	168
1665	2-Methoxy-4-vinylphenol	2	150
1671	4-Undecene, 4-methyl-, (Z)-	2	168
1681	4-Heptanone, 3-ethyl-	0	128
1684	1,1-Di(prop-2-enyl)-1-silacyclobutane	0	152
1689	Cyclohexene, 2-butyl-1,3,3-trimethyl-	2	180
1694	2-Propanol, 1-[(1-ethynylcyclohexyl)oxy]-	0	182
1709	1,7-Octanediol, 3,7-dimethyl-	0	174
1715	Pyrrolidine, 1-(1-oxo-2,5-octadecadienyl)-	0	333
1733	2,5-Dimethylhex-5-en-3-yn-2-ol	0	124
1739	Phenol, 2,6-dimethoxy-	2	154
1757	1(3H)-Isobenzofuranone, 3,3-dimethyl-	0	162
1761	trans-2,7-Dimethyl-4,6-octadien-2-ol	0	154
1762	2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)-	0	168
1766	Ethanone, 1-(2,5-dimethylphenyl)-	2	148
1770	4,5-Dimethyl-3-heptanol	0	144
1779	Benzaldehyde, 4-hydroxy-	2	122
1782	3-Decen-5-one	0	154
