Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
159,"1H-Tetrazole, 1-methyl-",84,872,514.98,1.696,16520
293,Isocrotonic acid,86,866,605.928,1.472,36152
316,Maleic anhydride,98,815,630.414,1.775,31800
337,"3-Hexanone, 2-methyl-",114,889,644.406,1.426,48797
410,"3-Pentenal, 4-methyl-",98,851,700.374,1.921,31477
456,"Ethanone, 1-(3-methylenecyclopentyl)-",124,724,766.836,1.419,11818
462,"4-Cyclopentene-1,3-dione",96,870,770.334,2.079,33872
464,"Methane, tribromo-",294,873,773.832,1.914,11956
661,"2,4-Dihydroxy-2,5-dimethyl-3(2H)-furan-3-one",144,871,1036.18,1.69,17131
665,"2,5-Furandione, 3-methyl-",112,869,1043.18,1.98,65863
669,"2-Hexanone, 6-bromo-",178,822,1046.68,1.544,7152.2
670,"2(5H)-Furanone, 3-methyl-",98,944,1046.68,2.429,19343
673,3-Octanone,128,871,1053.67,1.551,70846
688,3-Methyl-3-cyclohexen-1-one,110,815,1064.17,1.907,10939
707,"2-Hepten-4-one, 2-methyl-",126,792,1088.65,1.822,31060
738,4-Hexen-3-ol,100,802,1127.13,1.921,91983
760,"2,6-Octadiene-4,5-diol, 4-methyl-",156,762,1148.12,2.336,38605
772,Trifluoroamine oxide,87,875,1158.61,1.927,13731
778,Benzoxazole,119,793,1162.11,2.086,30701
786,3-Acetylthymine,168,670,1172.6,1.947,56733
796,"1,2-Cyclopentanedione, 3-methyl-",112,843,1186.6,2.053,6896.6
819,2-Acetyl-5-methylfuran,124,732,1214.58,2.039,21703
820,"2H-Pyran-2-one, 5,6-dihydro-",98,896,1218.08,2.105,20632
821,(E)-4-Oxohex-2-enal,112,897,1218.08,2.336,35379
830,"3-Cyclohexen-1-one, 3,5,5-trimethyl-",138,859,1225.07,1.736,34675
831,"2-Cyclopenten-1-one, 2,3-dimethyl-",110,865,1225.07,2.059,14716
839,"2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-",144,899,1239.07,2.092,60906
859,"Valeric acid, 2-pentadecyl ester",312,664,1267.05,1.94,3275.6
872,"Phenol, 3-methyl-",108,806,1277.54,1.94,26045
877,Metronidazole,82,793,1281.04,1.795,27426
894,(E)1-Allyl-2-methylcyclohexanol,154,723,1305.53,1.716,29314
910,"2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-",170,849,1319.52,1.597,110858
927,"Benzenepropanenitrile, á-hydroxy-",108,717,1337.01,1.94,26833
940,"1,2,4-Triazin-3-amine, 5,6-dimethyl-",124,768,1351,2.211,24257
958,"2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-",170,912,1364.99,1.637,135011
990,"5H-Cyclopenta-1,4-dioxin, 4a,6,7,7a-tetrahydro-2-methyl-, trans-",140,709,1396.48,1.927,18304
1011,"2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-",168,863,1424.46,1.762,81975
1012,"Acetic acid, trifluoro-, ethyl ester",238,655,1427.96,2.072,39545
1013,1-Cyclopentene-1-carboxylic acid,68,720,1427.96,2.086,33093
1016,"6,7-Dioxabicyclo[3.2.1]octane, 1-methyl-",128,775,1431.46,1.828,83108
1029,Cyclodecene,198,783,1445.45,2.092,12865
1076,Benzyl methyl ketone,134,821,1490.92,2.165,18187
1091,"2-Pyrazoline, 3-ethyl-1-isopropyl-",140,732,1501.42,2.383,19753
1116,"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-",138,909,1522.4,2.066,364396
1136,"Benzene, 1,2-dimethoxy-",138,896,1539.89,2.158,27657
1150,"Thiophene, 3-methyl-",98,661,1553.89,2.224,110455
1154,"Hexanoic acid, 2-ethylcyclohexyl ester",226,728,1557.38,1.769,731971
1182,"Bicyclo[3.1.0]hexan-2-one, 5-(1-methylethyl)-",138,906,1581.87,2,130289
1184,"5-Hepten-2-one, 5,6-dimethyl-",140,593,1585.37,1.841,5368.5
1197,Pinocarvone,150,779,1592.36,1.94,154295
1225,"1,4-Cyclohexanedione, 2,2,6-trimethyl-",154,887,1606.36,2.171,84142
1280,"2(3H)-Benzofuranone, hexahydro-3a,7a-dimethyl-, cis-",168,712,1648.33,2.006,56086
1288,6-Methyl-cyclohex-2-en-1-ol,112,694,1655.33,1.901,44974
1295,"Benzenemethanol, à,à,4-trimethyl-",150,734,1658.83,1.927,8187.6
1307,cis-3-Hexenyl iso-butyrate,170,792,1669.32,1.736,26125
1343,"1-Silacyclohexa-2,5-diene",96,764,1700.8,1.993,18240
1375,"2-Oxabicyclo[2.2.2]octan-6-one, 1,3,3-trimethyl-",168,840,1742.78,2.039,41114
1391,2-Nonanone,142,694,1756.77,2.198,40223
1398,"Phenol, 4-ethenyl-, acetate",162,736,1760.27,2.092,6759
1429,"2-Cyclohexen-1-one, 4-hydroxy-3,5,5-trimethyl-4-(3-oxo-1-butenyl)-",124,610,1788.25,1.841,5203.2
1433,"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",139,815,1791.75,2.158,100756
1486,"Hexanoic acid, tridec-2-ynyl ester",294,802,1844.22,2.066,130266
1489,"2,5-Pyrrolidinedione, 3-methyl-4-propyl-, cis-",155,783,1847.72,2.224,21757
1493,Nonadecanamide,297,649,1854.71,1.954,30662
1508,"1H-Pyrrole-2,5-dione, 3-ethenyl-4-methyl-",137,804,1865.21,2.297,56938
1529,"Bicyclo[2.2.1]heptane-2,5-dione, 1,7,7-trimethyl-",166,877,1882.7,2.31,31544
1542,"Cyclopentaneacetaldehyde, 2-formyl-3-methyl-à-methylene-",166,660,1896.69,2.105,79752
1547,"1,4-dihydroxy-p-menth-2-ene",170,926,1903.69,1.94,195328
1585,"Cyclohexene, 3-acetoxy-4-(1-hydroxy-1-methylethyl)-1-methyl-",212,825,1942.16,1.96,63302
1596,Thymol,150,790,1956.16,1.894,15383
1607,5H-1-Pyrindine,117,895,1966.65,2.607,27204
1627,(+)-Borneol,154,783,1980.64,2,43611
1639,"2(5H)-Furanone, 5-(2-hydroxyethylidene)-",126,745,1991.14,2.033,28718
1645,"Bicyclo[3.1.1]heptan-3-one, 6,6-dimethyl-2-(2-methylpropyl)-",194,581,1994.63,2.053,13208
1659,1-Acetyl-2-(2'-oxo-propyl)-cyclopentane,168,646,2008.63,2.31,18768
1665,2-Methoxy-4-vinylphenol,150,780,2015.62,2.125,7582.1
1671,"4-Undecene, 4-methyl-, (Z)-",168,762,2022.62,2.158,18272
1681,"4-Heptanone, 3-ethyl-",128,596,2033.11,2.158,16455
1684,"1,1-Di(prop-2-enyl)-1-silacyclobutane",152,771,2036.61,2.284,8877.5
1689,"Cyclohexene, 2-butyl-1,3,3-trimethyl-",180,753,2047.1,2.066,14197
1694,"2-Propanol, 1-[(1-ethynylcyclohexyl)oxy]-",182,712,2057.6,1.934,47908
1709,"1,7-Octanediol, 3,7-dimethyl-",174,736,2075.09,2.31,37897
1715,"Pyrrolidine, 1-(1-oxo-2,5-octadecadienyl)-",333,724,2078.59,2.277,16514
1733,"2,5-Dimethylhex-5-en-3-yn-2-ol",124,675,2106.57,1.808,7025.5
1739,"Phenol, 2,6-dimethoxy-",154,812,2113.57,2.402,27020
1757,"1(3H)-Isobenzofuranone, 3,3-dimethyl-",162,856,2138.05,2.435,42035
