#peak_num	name	molecular ion
749	Phenol, 2-methoxy-	124
816	Pyrimidine-2,4,6-trione, 1-cyclohexyl-5-[(2-piperazin-1-yl-ethylamino)methylene]-	349
867	Bicyclo[3.1.0]hexan-2-one, 5-(1-methylethyl)-	138
911	Lilac aldehyde D	168
1136	Phthalic anhydride	148
1424	3-(4-Methylbenzoyl)acrylic acid	190
415	Pyrazine, 2,3-dimethyl-	108
566	4-Hexen-2-one, 3-methyl-	112
672	2-Octenal, (E)-	126
801	4,6-Dimethyl-3,5-dioxo-2,3,4,5-tetrahydro-1,2,4-triazine	141
805	Bicyclo[3.1.0]hex-3-en-2-one, 5-(1-methylethyl)-	136
833	1,3-Dioxolane, 2-(1-methylpropyl)-	130
1032	Carvenone	152
1071	1,3-Phenylene, bis(3-phenylpropenoate)	370
1084	Cyclohexene, 3-acetoxy-4-(1-hydroxy-1-methylethyl)-1-methyl-	212
1105	3-Cyclopenten-1-one, 2,2,5,5-tetramethyl-	138
1109	2H-Pyran-2-one, 5,6-dihydro-4,6,6-trimethyl-	140
1138	1-Butoxy-2-methyl-2-butene (Z)-	142
1210	2-Hexenoic acid, 3,4,4-trimethyl-5-oxo-, (Z)-	170
1215	Ethanone, 1-(3,4-dimethylphenyl)-	148
1240	2-Methyl-5-phenyltetrazole	160
1270	Octanoic acid, 7-methoxy-3,7-dimethyl-, methyl ester	216
1393	2(3H)-Furanone, dihydro-5,5-dimethyl-4-(3-oxobutyl)-	184
1454	Phenol, 3,4,5-trimethoxy-	184
1507	1,3-Dioxolane, 2-(1-methylethyl)-	116
1527	Valine, N-methyl-n-butoxycarbonyl-, pentyl ester	301
1587	2-Propanol, 1-chloro-, phosphate (3:1)	326
1610	Caffeine	194
1619	3,7,11,15-Tetramethyl-2-hexadecen-1-ol	296
1633	Dibutyl phthalate	278
1718	Cyclic octaatomic sulfur	256
1773	1H-[1,2,4]Triazolo[4,3-b][1,2,4]triazole-3,6-diamine	139
1790	Adipic acid, 2-decyl isobutyl ester	342
1868	1-Propanol, 2,3-dichloro-, phosphate (3:1)	428
1901	s-Trioxane, 2,4,6-triethyl-	174
1967	1,3-Dioxolane, 2-(dichloromethyl)-	156
2028	1-Penten-3-ol, 3-methyl-	100
2166	Octocrylene	361
2504	Phthalic acid, 7-methyloct-3-yn-5-yl undecyl ester	442
1904	Ethanol, 2-butoxy-, phosphate (3:1)	398
2328	Octadecanal	268
